instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_categories,user_categories
1,2011-01-01,1,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,Dini Hari,Mayoritas Pengguna Terdaftar
2,2011-01-01,1,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,Dini Hari,Mayoritas Pengguna Terdaftar
3,2011-01-01,1,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,Dini Hari,Mayoritas Pengguna Terdaftar
4,2011-01-01,1,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,Dini Hari,Mayoritas Pengguna Terdaftar
5,2011-01-01,1,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
6,2011-01-01,1,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,Dini Hari,Mayoritas Pengguna Terdaftar
7,2011-01-01,1,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,Pagi,Mayoritas Pengguna Biasa
8,2011-01-01,1,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Pagi,Mayoritas Pengguna Terdaftar
9,2011-01-01,1,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,Pagi,Mayoritas Pengguna Terdaftar
10,2011-01-01,1,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Pagi,Mayoritas Pengguna Biasa
11,2011-01-01,1,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,Pagi,Mayoritas Pengguna Terdaftar
12,2011-01-01,1,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,Siang,Mayoritas Pengguna Terdaftar
13,2011-01-01,1,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,Siang,Mayoritas Pengguna Terdaftar
14,2011-01-01,1,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,Siang,Mayoritas Pengguna Terdaftar
15,2011-01-01,1,0,1,14,0,6,0,2,18.86,22.725,72.0,19.0012,35,71,106,Siang,Mayoritas Pengguna Terdaftar
16,2011-01-01,1,0,1,15,0,6,0,2,18.04,21.97,77.0,19.999499999999998,40,70,110,Sore,Mayoritas Pengguna Terdaftar
17,2011-01-01,1,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,Sore,Mayoritas Pengguna Terdaftar
